Number of Selections: 1,
Selection Expression: s0,
Invert Selection: No,
Elements: Point,
,
s0),
Type: ID Selection,
,
Process ID Index,
Number,ID
0,0
0,1
0,2
0,3
0,4
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,21
0,22
0,23
0,24
0,198
0,199
0,203
0,209
0,211
0,213
0,216
0,217
0,219
0,222
0,233
0,237
0,239
0,248
0,249
0,256
0,258
0,261
0,281
0,286
0,295
0,298
0,300
0,302
0,307
0,309
0,310
0,314
0,315
0,320
0,322
0,331
0,333
0,335
0,337
0,349
0,354
0,355
0,356
0,357
0,358
0,359
0,360
0,364
0,365
0,380
0,382
0,385
0,386
0,387
0,388
0,389
