Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.097576,0.048517,0.075206,0,0,0,0.089059,0.00013268,-1.1414E-21,6.845E-19,0.00025668,-3.5468E-20,0.00013268,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/base_link.STL,,GrasperMount-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MountLink1,0.0041583,0.04149,0.074992,0,0,0,0.11031,0.00013574,1.0145E-20,6.7755E-19,0.0002604,5.3477E-08,0.00013876,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/MountLink1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/MountLink1.STL,,TiltMcKibben_MountConnector-4,Origin_BM1,Axis_BM1,BM1,floating,0.093418,0.01338,-0.010496,1.5708,0,0,base_link,0.091468,0.98658,-0.13527,,,,,,,,,,,,
McKibben1,0,0.07651,-0.013045,0,0,0,0.10952,0.00013561,3.7761E-22,7.0263E-19,0.00026038,1.323E-08,0.00013864,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/McKibben1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/McKibben1.STL,,TiltMcKibbens-5,Origin_MLMC1,Axis25,MLMC1,prismatic,0.0041583,-0.034872,0.088586,0,0,0,MountLink1,0,-0.93969,0.34202,0,0,-1,1,,,,,,,,
CylinderCons1,-5.4123E-16,0.0028145,-0.067343,0,0,0,0.00086695,1.6739E-07,-3.0873E-21,1.0058E-20,1.2359E-06,2.6945E-08,1.1563E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/CylinderCons1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/CylinderCons1.STL,,ConstrainingCylinder-1,Origin_MCC1,,MCC1,floating,0,0,0,0,0,0,McKibben1,0,0,0,,,,,,,,,,,,
SoftSupport1,1.3878E-17,-6.088E-05,-0.0096819,0,0,0,0.020019,2.8922E-06,4.8647E-21,-6.2593E-21,3.6958E-06,-8.3292E-10,5.9269E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftSupport1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftSupport1.STL,,SoftJawSupport-1,Origin_LinearJaw1,Axis_LinearJaw1,LinearJaw1,prismatic,0,0,-0.059827,0,0,0,CylinderCons1,0,0,1,0,0,-1,1,,,,,,,,
SoftJaw1,-1.3878E-17,-2.0817E-17,-0.054391,0,0,0,0.015121,1.7236E-06,-5.9317E-22,6.0723E-22,1.331E-06,-2.3171E-23,2.4259E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftJaw1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftJaw1.STL,,SoftJaw_Sealed-1,Origin_SJ1,,SJ1,fixed,0,0,0.059827,0,0,0,SoftSupport1,0,0,0,,,,,,,,,,,,
MountLink2,-9.1211E-10,0.076362,-0.013594,0,0,0,0.11031,0.00013574,2.1735E-13,2.0391E-13,0.0002604,5.3476E-08,0.00013876,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/MountLink2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/MountLink2.STL,,TiltMcKibben_MountConnector-8,Origin_BM2,,BM2,floating,0.097576,-0.075206,-0.045368,1.5708,0,2.0944,base_link,0,0,0,,,,,,,,,,,,
McKibben2,-9.1872E-10,0.07651,-0.013045,0,0,0,0.10952,0.00013561,2.1735E-13,2.0391E-13,0.00026038,1.323E-08,0.00013864,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/McKibben2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/McKibben2.STL,,TiltMcKibbens-9,Origin_MLMC2,Axis26,MLMC2,prismatic,0,0,0,0,0,0,MountLink2,0,-0.93969,0.34202,0,0,-1,1,,,,,,,,
CylinderCons2,-6.5226E-16,0.0028145,-0.067343,0,0,0,0.00086695,1.6739E-07,-1.0571E-21,7.0542E-21,1.2359E-06,2.6945E-08,1.1563E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/CylinderCons2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/CylinderCons2.STL,,ConstrainingCylinder-3,Origin_MCC2,,MCC2,floating,0,0,0,0,0,0,McKibben2,0,0,0,,,,,,,,,,,,
SoftSupport2,-5.0259E-09,-6.0879E-05,-0.0054921,0,0,0,0.020019,2.8922E-06,2.1735E-13,2.0391E-13,3.6958E-06,-8.3305E-10,5.9269E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftSupport2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftSupport2.STL,,SoftJawSupport-5,Origin_LinearJaw2,Axis_LinearJaw2,LinearJaw2,prismatic,0,0,-0.064016,0,0,0,CylinderCons2,0,0,1,0,0,-1,1,,,,,,,,
SoftJaw2,6.7377E-11,-2.7756E-17,-0.054391,0,0,0,0.015121,1.7236E-06,-1.997E-21,-1.0243E-14,1.331E-06,1.3021E-21,2.4259E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftJaw2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftJaw2.STL,,SoftJaw_Sealed-5,Origin_SJ2,,SJ2,fixed,0,0,0.064016,0,0,0,SoftSupport2,0,0,0,,,,,,,,,,,,
MountLink3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/MountLink3.STL,1,1,1,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/MountLink3.STL,,TiltMcKibben_MountConnector-7,Origin_BM3,,BM3,floating,0.097576,-0.075206,-0.045368,1.5708,0,-2.0944,base_link,0,0,0,,,,,,,,,,,,
McKibben3,9.1872E-10,0.07651,-0.013045,0,0,0,0.10952,0.00013561,-2.1735E-13,-2.0391E-13,0.00026038,1.323E-08,0.00013864,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/McKibben3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/McKibben3.STL,,TiltMcKibbens-8,Origin_MLMC3,Axis27,MLMC3,prismatic,0,0,0,0,0,0,MountLink3,0,-0.93969,0.34202,0,0,-1,1,,,,,,,,
CylinderCons3,3.3307E-16,0.0028145,-0.067343,0,0,0,0.00086695,1.6739E-07,-1.0886E-21,-3.5734E-21,1.2359E-06,2.6945E-08,1.1563E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/CylinderCons3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/CylinderCons3.STL,,ConstrainingCylinder-2,Origin_MCC3,,MCC3,floating,0,0,0,0,0,0,McKibben3,0,0,0,,,,,,,,,,,,
SoftSupport3,5.0259E-09,-6.0879E-05,-0.031111,0,0,0,0.020019,2.8922E-06,-2.1735E-13,-2.0391E-13,3.6958E-06,-8.3305E-10,5.9269E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftSupport3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftSupport3.STL,,SoftJawSupport-4,Origin_LinearJaw3,Axis_LinearJaw3,LinearJaw3,prismatic,0,0,-0.038397,0,0,0,CylinderCons3,0,0,1,0,0,-1,1,,,,,,,,
SoftJaw3,-6.7377E-11,-2.0817E-17,-0.054391,0,0,0,0.015121,1.7236E-06,3.0384E-22,1.0243E-14,1.331E-06,9.4456E-22,2.4259E-06,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftJaw3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly_Tilt/meshes/SoftJaw3.STL,,SoftJaw_Sealed-4,Origin_SJ3,Axis_SJ3,SJ3,fixed,0,0,0.0383973650995022,0,0,0,SoftSupport3,0,0,0,,,,,,,,,,,,
